epoch	train_loss	train_acc	dev_acc
30.8	0.056	88.2	69.3
30.9	0.051	85.9	70.3
31.0	0.063	86.6	67.6
31.1	0.039	88.5	69.7
31.2	0.034	88.2	70.9
31.3	0.044	86.3	69.8
31.4	0.041	88.5	70.7
31.5	0.047	87.3	68.1
31.6	0.046	87.4	69.9
31.7	0.044	86.2	68.9
31.8	0.055	88.4	70.4
31.9	0.049	85.8	72.7
32.0	0.053	84.4	71.8
32.1	0.039	88.5	70.4
32.2	0.039	86.8	70.5
32.3	0.043	85.0	69.1
32.4	0.045	87.6	68.7
32.5	0.048	86.8	70.9
32.6	0.047	89.5	68.9
32.7	0.052	87.7	70.7
32.8	0.049	86.9	71.4
32.9	0.055	87.7	72.9
33.0	0.049	86.3	72.3
33.1	0.036	88.0	71.4
33.2	0.047	86.9	71.2
33.3	0.042	87.5	70.2
33.4	0.045	87.4	70.2
33.5	0.042	88.8	70.4
33.6	0.045	88.3	70.1
33.7	0.046	87.5	71.0
33.8	0.045	86.5	68.3
33.9	0.047	90.0	71.0
34.0	0.052	85.7	71.6
34.1	0.039	86.0	71.7
34.2	0.036	87.7	71.8
34.3	0.04	87.2	71.7
34.4	0.035	87.7	69.2
34.5	0.044	88.3	70.2
34.6	0.041	87.7	70.2
34.7	0.041	88.2	72.5
34.8	0.044	86.5	70.4
34.9	0.052	87.1	69.3
35.0	0.055	85.8	68.0
35.1	0.04	87.0	72.2
35.2	0.035	87.8	72.6
35.3	0.037	87.6	71.2
35.4	0.048	85.7	70.2
35.5	0.051	87.5	73.9
35.6	0.049	87.7	71.3
35.7	0.041	88.2	74.1
35.8	0.046	86.9	73.1
35.9	0.046	86.5	71.5
36.0	0.054	85.8	70.8
36.1	0.032	89.0	73.1
36.2	0.038	88.0	73.3
36.3	0.041	86.5	71.9
36.4	0.046	87.1	72.8
36.5	0.043	85.1	70.5
36.6	0.045	86.9	71.2
36.7	0.046	86.9	70.7
36.8	0.048	88.5	72.3
36.9	0.053	87.3	71.1
37.0	0.057	88.7	71.6
37.1	0.036	88.7	71.8
37.2	0.043	88.3	71.6
37.3	0.04	87.7	70.5
37.4	0.039	88.2	71.0
37.5	0.043	88.0	70.9
37.6	0.047	88.3	70.3
37.7	0.047	87.6	73.3
37.8	0.042	85.2	73.2
37.9	0.047	87.3	71.9
38.0	0.048	89.8	73.4
38.1	0.035	88.6	73.0
38.2	0.032	89.6	71.7
38.3	0.041	87.7	70.0
38.4	0.039	87.1	69.9
38.5	0.038	88.1	71.8
38.6	0.045	86.7	72.3
38.7	0.043	85.8	69.3
38.8	0.057	86.8	70.5
38.9	0.048	87.7	71.5
39.0	0.055	88.3	71.1
39.1	0.037	89.8	72.8
39.2	0.035	90.8	73.1
39.3	0.038	87.7	72.1
39.4	0.045	86.7	69.0
39.5	0.056	87.4	71.7
39.6	0.045	87.3	71.8
39.7	0.04	89.5	73.3
39.8	0.049	87.8	72.4
39.9	0.052	88.3	73.2
40.0	0.047	86.9	72.1
40.1	0.032	89.9	72.8
40.2	0.034	88.2	73.3
40.3	0.046	88.0	70.5
40.4	0.038	86.6	72.7
40.5	0.041	88.5	72.9
40.6	0.046	88.1	71.6
40.7	0.041	88.5	73.4
40.8	0.049	86.9	72.2
40.9	0.045	88.3	72.2
41.0	0.057	85.0	69.7
41.1	0.044	87.2	71.0
41.2	0.041	89.1	72.7
41.3	0.037	90.4	72.6
41.4	0.038	88.3	72.6
41.5	0.037	90.3	72.0
41.6	0.04	87.6	73.2
41.7	0.049	86.0	68.3
41.8	0.05	87.3	70.0
41.9	0.049	87.7	71.7
42.0	0.049	88.6	73.4
42.1	0.039	86.9	70.9
42.2	0.047	88.7	72.3
42.3	0.041	87.3	69.5
42.4	0.039	87.3	70.0
42.5	0.051	86.8	70.0
42.6	0.044	87.9	71.1
42.7	0.048	84.5	71.0
42.8	0.049	89.4	72.9
42.9	0.046	87.2	72.8
43.0	0.061	88.8	71.1
43.1	0.034	89.1	71.6
43.2	0.038	88.4	71.0
43.3	0.044	88.2	72.6
43.4	0.044	89.3	72.1
43.5	0.047	88.0	71.1
43.6	0.041	87.3	70.9
43.7	0.045	88.7	70.6
43.8	0.044	88.9	69.9
43.9	0.049	88.7	70.5
44.0	0.054	86.0	72.1
44.1	0.031	88.4	72.9
44.2	0.039	87.4	71.8
44.3	0.044	88.0	71.9
44.4	0.043	86.4	70.7
44.5	0.043	88.8	73.5
44.6	0.043	89.0	70.7
44.7	0.04	87.5	72.7
44.8	0.054	85.1	71.8
44.9	0.053	88.8	70.7
45.0	0.042	87.9	71.6
45.1	0.036	87.7	71.4
45.2	0.032	89.5	73.4
45.3	0.044	87.9	71.5
45.4	0.045	85.6	70.0
45.5	0.043	88.9	71.5
45.6	0.034	89.3	72.1
45.7	0.046	87.1	71.4
45.8	0.048	86.8	69.0
45.9	0.053	88.4	71.3
46.0	0.05	87.5	71.2
46.1	0.03	89.8	73.1
46.2	0.04	88.0	72.9
46.3	0.032	89.2	74.2
46.4	0.04	87.0	74.2
46.5	0.042	88.5	72.4
46.6	0.034	86.7	72.2
46.7	0.052	87.1	73.5
46.8	0.04	87.5	70.9
46.9	0.055	88.8	71.9
47.0	0.053	87.5	70.6
47.1	0.032	88.8	72.3
47.2	0.037	86.7	72.8
47.3	0.037	88.6	73.9
47.4	0.043	88.0	73.5
47.5	0.042	87.4	73.5
47.6	0.042	88.5	73.2
47.7	0.049	87.2	71.5
47.8	0.049	86.1	71.2
47.9	0.054	87.0	71.9
48.0	0.049	88.6	72.3
48.1	0.038	89.1	73.2
48.2	0.044	87.6	73.2
48.3	0.037	88.4	71.7
48.4	0.044	87.6	72.4
48.5	0.045	89.6	74.4
48.6	0.041	89.6	74.2
48.7	0.046	90.4	74.7
48.8	0.056	88.3	70.5
48.9	0.05	86.7	72.4
49.0	0.052	87.4	72.3
49.1	0.036	86.7	73.5
49.2	0.043	86.4	72.1
49.3	0.045	88.7	71.0
49.4	0.039	88.2	73.4
49.5	0.043	89.7	71.7
49.6	0.05	86.5	68.3
49.7	0.045	87.5	71.9
49.8	0.048	86.5	70.3
49.9	0.047	88.1	71.5
50.0	0.046	89.2	72.2
50.1	0.038	88.2	73.7
50.2	0.04	89.0	74.6
50.3	0.036	88.8	74.1
50.4	0.047	85.1	71.9
50.5	0.046	86.9	69.5
50.6	0.043	88.3	73.7
50.7	0.045	90.5	72.7
50.8	0.036	87.9	73.9
50.9	0.056	86.9	72.0
51.0	0.056	85.0	70.4
51.1	0.035	87.5	70.7
51.2	0.036	89.2	71.4
51.3	0.041	88.1	71.2
51.4	0.049	88.4	70.3
51.5	0.038	85.7	70.7
51.6	0.047	87.4	69.1
51.7	0.05	86.5	70.5
51.8	0.046	87.1	72.4
51.9	0.05	90.0	72.8
52.0	0.042	90.3	73.4
52.1	0.03	89.6	73.6
52.2	0.034	87.9	69.8
52.3	0.044	89.4	70.7
52.4	0.039	89.1	73.2
52.5	0.041	88.3	73.5
52.6	0.046	88.1	72.7
52.7	0.051	85.0	73.6
52.8	0.051	87.4	71.9
52.9	0.053	87.1	73.2
53.0	0.061	86.9	74.3
53.1	0.04	87.0	73.0
53.2	0.038	87.2	72.0
53.3	0.04	86.8	71.5
53.4	0.041	85.9	72.9
53.5	0.042	85.9	72.6
53.6	0.052	88.4	71.6
53.7	0.047	87.1	72.7
53.8	0.054	88.7	72.4
53.9	0.046	86.2	73.1
54.0	0.058	90.7	73.3
54.1	0.034	87.9	73.1
54.2	0.037	88.4	73.3
54.3	0.033	89.8	74.1
54.4	0.043	89.0	74.0
54.5	0.045	87.0	73.3
54.6	0.039	86.4	75.0
54.7	0.052	87.1	71.3
54.8	0.043	89.1	73.4
54.9	0.044	88.7	71.5
55.0	0.049	88.0	71.9
55.1	0.035	87.2	70.8
55.2	0.032	91.5	74.3
55.3	0.039	87.5	70.3
55.4	0.038	86.9	70.5
55.5	0.044	87.4	71.0
55.6	0.044	86.6	72.0
55.7	0.042	86.9	70.7
55.8	0.051	86.8	72.3
55.9	0.053	87.1	70.2
56.0	0.048	87.6	72.7
56.1	0.033	87.1	71.5
56.2	0.04	87.2	74.7
56.3	0.04	88.6	70.9
56.4	0.039	89.0	70.9
56.5	0.046	88.4	72.0
56.6	0.046	85.6	71.1
56.7	0.043	87.7	70.3
56.8	0.05	87.9	71.5
56.9	0.053	88.3	73.2
57.0	0.051	87.5	71.5
57.1	0.038	87.1	71.7
57.2	0.046	85.3	72.4
57.3	0.043	86.1	70.1
57.4	0.045	86.3	71.8
57.5	0.05	85.1	71.5
57.6	0.044	87.8	71.6
57.7	0.048	86.6	71.9
57.8	0.057	85.6	70.2
57.9	0.057	84.5	69.7
58.0	0.063	86.3	69.2
58.1	0.041	86.5	71.0
58.2	0.049	86.1	70.6
58.3	0.035	84.4	72.4
58.4	0.047	86.5	70.4
58.5	0.047	87.1	72.3
58.6	0.055	88.2	70.8
58.7	0.047	86.0	68.5
58.8	0.059	83.7	70.3
58.9	0.054	87.3	71.3
59.0	0.055	88.4	71.4
59.1	0.038	88.0	73.4
59.2	0.039	87.8	73.2
59.3	0.041	87.1	72.2
59.4	0.046	86.9	71.6
59.5	0.041	88.7	72.7
59.6	0.051	87.8	70.2
59.7	0.048	87.8	71.3
59.8	0.057	87.6	70.5
59.9	0.062	88.5	73.1
60.0	0.054	89.6	70.7
60.1	0.035	88.3	70.6
60.2	0.032	88.5	72.9
60.3	0.037	87.8	71.4
60.4	0.035	86.5	71.5
60.5	0.042	85.1	72.9
60.6	0.049	84.4	70.0
60.7	0.061	84.4	72.3
60.8	0.051	84.7	71.6
60.9	0.068	84.8	71.3
61.0	0.058	86.7	70.7
61.1	0.039	86.5	71.9
61.2	0.035	89.4	71.6
